date,product,revenue
2026-08-01,Widget A,94.31
2026-08-01,Widget B,66.08
2026-08-01,Gadget,171.65
2026-08-01,Kit,222.68
2026-08-01,Refill,196.11
2026-08-02,Widget A,72.66
2026-08-02,Widget B,337.67
2026-08-02,Gadget,120.37
2026-08-02,Kit,381.18
2026-08-02,Refill,182.8
2026-08-03,Widget B,349.05
2026-08-03,Gadget,91.93
2026-08-03,Kit,151.05
2026-08-04,Widget A,249.38
2026-08-04,Widget B,174.06
2026-08-04,Gadget,62.6
2026-08-04,Kit,114.15
2026-08-04,Refill,193.93
2026-08-05,Widget A,250.8
2026-08-05,Widget B,147.92
2026-08-05,Gadget,291.64
2026-08-05,Kit,246.79
2026-08-05,Refill,355.05
2026-08-06,Widget A,143.66
2026-08-06,Gadget,190.52
2026-08-06,Kit,94.71
2026-08-06,Refill,54.11
2026-08-07,Widget A,315.25
2026-08-07,Widget B,355.17
2026-08-07,Gadget,290.31
2026-08-07,Kit,248.76
2026-08-07,Refill,342.39
2026-08-08,Widget B,279.09
2026-08-08,Gadget,292.54
2026-08-08,Kit,397.51
2026-08-09,Widget A,178.88
2026-08-09,Widget B,48.12
2026-08-09,Gadget,100.5
2026-08-09,Kit,61.22
2026-08-09,Refill,86.56
2026-08-10,Widget A,180.74
2026-08-10,Gadget,201.71
2026-08-10,Kit,358.02
2026-08-11,Widget B,189.51
2026-08-11,Gadget,358.31
2026-08-11,Refill,103.44
2026-08-12,Widget A,124.0
2026-08-12,Widget B,252.08
2026-08-12,Gadget,41.47
2026-08-12,Kit,172.93
2026-08-12,Refill,383.12
2026-08-13,Widget A,225.58
2026-08-13,Widget B,283.43
2026-08-13,Gadget,363.83
2026-08-13,Kit,354.82
2026-08-13,Refill,181.26
2026-08-14,Widget A,77.27
2026-08-14,Widget B,62.41
2026-08-14,Gadget,115.15
2026-08-14,Kit,162.42
2026-08-14,Refill,40.08
2026-08-15,Widget A,76.53
2026-08-15,Widget B,49.18
2026-08-15,Kit,93.48
2026-08-15,Refill,165.06
2026-08-16,Widget A,84.22
2026-08-16,Kit,214.18
2026-08-16,Refill,76.79
2026-08-17,Widget A,135.31
2026-08-17,Gadget,48.31
2026-08-17,Refill,92.78
2026-08-18,Widget A,49.74
2026-08-18,Widget B,392.26
2026-08-18,Kit,134.0
2026-08-18,Refill,100.14
2026-08-19,Widget A,231.73
2026-08-19,Widget B,158.68
2026-08-19,Gadget,332.14
2026-08-20,Gadget,121.63
2026-08-20,Kit,168.0
2026-08-20,Refill,50.06
2026-08-21,Widget A,133.3
2026-08-21,Widget B,384.35
2026-08-21,Gadget,377.33
2026-08-22,Widget A,119.37
2026-08-22,Widget B,110.81
2026-08-22,Gadget,264.66
2026-08-23,Widget A,275.07
2026-08-23,Widget B,70.52
2026-08-23,Gadget,367.52
2026-08-23,Kit,310.05
2026-08-23,Refill,104.27
2026-08-24,Widget A,159.71
2026-08-24,Kit,184.5
2026-08-25,Widget A,101.2
2026-08-25,Widget B,94.41
2026-08-25,Refill,337.54
2026-08-26,Widget B,166.15
2026-08-26,Gadget,87.15
2026-08-26,Kit,389.52
2026-08-26,Refill,229.57
2026-08-27,Widget B,353.83
2026-08-27,Kit,130.66
2026-08-27,Refill,126.59
2026-08-28,Widget A,133.37
2026-08-28,Widget B,87.19
2026-08-28,Kit,204.94
2026-08-28,Refill,365.55
2026-08-29,Widget A,370.38
2026-08-29,Widget B,231.46
2026-08-29,Gadget,46.73
2026-08-29,Kit,105.92
2026-08-29,Refill,327.7
2026-08-30,Widget A,210.46
2026-08-30,Widget B,240.33
2026-08-30,Gadget,226.61
2026-08-30,Kit,322.34
2026-08-30,Refill,241.71
